;nonaeroAnthroF
1765;0.0293597015
1766;0.0318565517
1767;0.0356759658
1768;0.0381071005
1769;0.0384542417
1770;0.0408768739
1771;0.0426389358
1772;0.0437078476
1773;0.0467834018
1774;0.050637561
1775;0.0539419483
1776;0.0563975889
1777;0.0576945303
1778;0.0604020417
1779;0.0611686568
1780;0.065066261
1781;0.0700005487
1782;0.0720671792
1783;0.0740465326
1784;0.0749656798
1785;0.0779636716
1786;0.0799452078
1787;0.0818668651
1788;0.087150306
1789;0.0894555855
1790;0.0918088651
1791;0.0941700591
1792;0.0964674079
1793;0.0983772743
1794;0.1002305384
1795;0.1049594753
1796;0.107474352
1797;0.1081387207
1798;0.1097651489
1799;0.1126268799
1800;0.1146424813
1801;0.1177619089
1802;0.1217666357
1803;0.124852447
1804;0.1260459032
1805;0.1281568699
1806;0.1314783199
1807;0.1328380771
1808;0.1362731463
1809;0.1403730917
1810;0.1428048297
1811;0.1460416645
1812;0.1472627911
1813;0.1514185325
1814;0.1524724613
1815;0.1553537288
1816;0.1603481616
1817;0.1615533677
1818;0.1645542354
1819;0.1654587811
1820;0.1682571264
1821;0.1700586428
1822;0.1718552769
1823;0.1765410605
1824;0.1774602459
1825;0.1809473545
1826;0.1816003026
1827;0.1819196156
1828;0.1826627256
1829;0.1840688654
1830;0.1886542758
1831;0.1901953783
1832;0.1909198777
1833;0.1918156437
1834;0.1931829303
1835;0.1944866762
1836;0.1964645586
1837;0.2001527956
1838;0.2011026185
1839;0.2021961769
1840;0.2036261958
1841;0.2062607592
1842;0.2066001723
1843;0.2082606142
1844;0.2134202069
1845;0.2167426368
1846;0.2212606323
1847;0.2236306316
1848;0.2274825625
1849;0.2294370411
1850;0.231789577
1851;0.2386903088
1852;0.2421638165
1853;0.2467230103
1854;0.2540172882
1855;0.2570914372
1856;0.2613414913
1857;0.2675336191
1858;0.2749874871
1859;0.279929576
1860;0.2862242619
1861;0.2946742857
1862;0.3008750857
1863;0.3073621572
1864;0.3129918727
1865;0.3235880742
1866;0.3302024744
1867;0.3360296748
1868;0.3452205398
1869;0.3495351165
1870;0.3536621759
1871;0.3586529776
1872;0.3670404301
1873;0.372760696
1874;0.379164255
1875;0.388210943
1876;0.3950121421
1877;0.4018590295
1878;0.4070399004
1879;0.4172869927
1880;0.4261094253
1881;0.4330705727
1882;0.4443076251
1883;0.4508619968
1884;0.4585657389
1885;0.4660773405
1886;0.4778543835
1887;0.487057412
1888;0.4957157035
1889;0.5085160918
1890;0.5171725101
1891;0.5270285348
1892;0.5360583023
1893;0.5492071726
1894;0.5572514555
1895;0.565633106
1896;0.574220273
1897;0.581766622
1898;0.5907612049
1899;0.6009390539
1900;0.6135686732
1901;0.6223900595
1902;0.6365693878
1903;0.646060595
1904;0.659481588
1905;0.6735732486
1906;0.6845190718
1907;0.6998800522
1908;0.7128432483
1909;0.7259987493
1910;0.7417075364
1911;0.7543587601
1912;0.7677134579
1913;0.7821747993
1914;0.7933524482
1915;0.8060051048
1916;0.8212276863
1917;0.8351736
1918;0.8475109179
1919;0.8572895958
1920;0.8717772993
1921;0.884374196
1922;0.8931280086
1923;0.9049668039
1924;0.9147546872
1925;0.9203676143
1926;0.9236132032
1927;0.9308617813
1928;0.9392588959
1929;0.9464602844
1930;0.9515119728
1931;0.958737527
1932;0.9707785233
1933;0.9810856864
1934;0.9949630581
1935;1.0080083685
1936;1.0300589641
1937;1.0484677746
1938;1.0618352589
1939;1.0787725034
1940;1.0927383079
1941;1.1077391374
1942;1.1202012129
1943;1.1334233152
1944;1.1395011146
1945;1.1437957253
1946;1.1510986871
1947;1.1594953198
1948;1.1697721
1949;1.1764564513
1950;1.1887284557
1951;1.1996200017
1952;1.2169182073
1953;1.2355661699
1954;1.2566841457
1955;1.2753925565
1956;1.2978071662
1957;1.3205259611
1958;1.3407382562
1959;1.3631364691
1960;1.3888757292
1961;1.411930636
1962;1.4394440556
1963;1.4678010623
1964;1.497401793
1965;1.5250592706
1966;1.5622410017
1967;1.5898298872
1968;1.6289567193
1969;1.6676310957
1970;1.7210655251
1971;1.7573302371
1972;1.8188675871
1973;1.8900694004
1974;1.9361823115
1975;1.9675018563
1976;2.011599091
1977;2.0725584395
1978;2.134818708
1979;2.19319648
1980;2.254631958
1981;2.3044470373
1982;2.3374591299
1983;2.3877174169
1984;2.435095873
1985;2.4878558768
1986;2.5404268948
1987;2.5983743183
1988;2.6733203458
1989;2.7278002695
1990;2.7709977525
1991;2.8077878466
1992;2.8318701691
1993;2.8506843593
1994;2.8814451005
1995;2.9188838729
1996;2.9587841381
1997;2.9809718818
1998;3.0317462
1999;3.0735703853
2000;3.0996198766
2001;3.1295554487
2002;3.1680646594
2003;3.2174062761
2004;3.2488417614
2005;3.2861946203
2006;3.3267865379
2007;3.3593952864
2008;3.4074470486
2009;3.4344056996
2010;3.4878046071
2011;3.5308113038
