;nonaeroAnthroF
1765;0.0325008326
1766;0.0356485154
1767;0.0409230036
1768;0.0439140111
1769;0.0438183889
1770;0.046802802
1771;0.0486418618
1772;0.0494200714
1773;0.0531441818
1774;0.0583850577
1775;0.0623195502
1776;0.0649334258
1777;0.0658790733
1778;0.0690828603
1779;0.0693570855
1780;0.0738871192
1781;0.0806832989
1782;0.0828141283
1783;0.0848431883
1784;0.0853090561
1785;0.0888563871
1786;0.090886132
1787;0.0928319032
1788;0.1000240561
1789;0.1024419858
1790;0.1049128512
1791;0.107395615
1792;0.1098142722
1793;0.1118025343
1794;0.1137529769
1795;0.1203805766
1796;0.1235031846
1797;0.1237884364
1798;0.1255698116
1799;0.1286885483
1800;0.1308625046
1801;0.134641288
1802;0.1401167233
1803;0.1438835603
1804;0.1447634429
1805;0.1470728376
1806;0.1510950291
1807;0.1521698239
1808;0.1563372133
1809;0.1619720609
1810;0.1646634488
1811;0.1686679765
1812;0.169647473
1813;0.1746695311
1814;0.1754409038
1815;0.1790629105
1816;0.1860888795
1817;0.1870723082
1818;0.1907777337
1819;0.1913539671
1820;0.1948080179
1821;0.19678331
1822;0.1987840636
1823;0.2054426446
1824;0.2060347626
1825;0.2102879491
1826;0.2110792729
1827;0.2115234111
1828;0.212416941
1829;0.2139718726
1830;0.2205008469
1831;0.2221708618
1832;0.2230050635
1833;0.2239916562
1834;0.2255640574
1835;0.2270545659
1836;0.2296062565
1837;0.2347192131
1838;0.2356664926
1839;0.2367810835
1840;0.2383039453
1841;0.2415656749
1842;0.2415631159
1843;0.2434471842
1844;0.2507189529
1845;0.2543626903
1846;0.2596368773
1847;0.2617290061
1848;0.2661420752
1849;0.2676552544
1850;0.2700467838
1851;0.2793107721
1852;0.2829315185
1853;0.2882012987
1854;0.2980134184
1855;0.3013366993
1856;0.3063205165
1857;0.3133853015
1858;0.3229486414
1859;0.3282197401
1860;0.3353302716
1861;0.3459180825
1862;0.3530229783
1863;0.3604843196
1864;0.3666284107
1865;0.3801177496
1866;0.3877464001
1867;0.3941110503
1868;0.4060763619
1869;0.4107837322
1870;0.415225319
1871;0.4209324781
1872;0.4318029738
1873;0.4377844821
1874;0.4450155375
1875;0.4562096498
1876;0.4638238873
1877;0.4715025014
1878;0.4765526299
1879;0.4895397562
1880;0.4994473357
1881;0.5068820615
1882;0.5208935227
1883;0.5279225322
1884;0.536626247
1885;0.5446907549
1886;0.559317608
1887;0.5692055408
1888;0.5784282203
1889;0.594117751
1890;0.6033630512
1891;0.6143181453
1892;0.6240132185
1893;0.6401733026
1894;0.648756658
1895;0.6581110916
1896;0.6683191132
1897;0.6766918073
1898;0.6863525035
1899;0.6976851065
1900;0.7127770857
1901;0.722241835
1902;0.7395326932
1903;0.7497095501
1904;0.7662562154
1905;0.7830831444
1906;0.7949131779
1907;0.8130109084
1908;0.8272612013
1909;0.8433339951
1910;0.8620747619
1911;0.875471074
1912;0.8899409403
1913;0.9054700938
1914;0.9170649722
1915;0.9306998701
1916;0.9470173272
1917;0.9622167547
1918;0.9755153446
1919;0.9871376446
1920;1.0027901234
1921;1.018074644
1922;1.0280908427
1923;1.0412881834
1924;1.0521533502
1925;1.0581997927
1926;1.0616174693
1927;1.0697571801
1928;1.0805360865
1929;1.0889606229
1930;1.0952066202
1931;1.1035116133
1932;1.1185200787
1933;1.1304248441
1934;1.147305252
1935;1.1616804737
1936;1.1873221557
1937;1.2070810146
1938;1.221613664
1939;1.2421586451
1940;1.2572722016
1941;1.275086195
1942;1.2892243881
1943;1.3048887589
1944;1.3123646539
1945;1.3175661604
1946;1.3280463415
1947;1.3381446786
1948;1.3514975868
1949;1.3592422916
1950;1.3743682507
1951;1.3873800511
1952;1.4096955066
1953;1.431549933
1954;1.4577829727
1955;1.4795034605
1956;1.5078335983
1957;1.5359828854
1958;1.5596250702
1959;1.5870192983
1960;1.6153683187
1961;1.6412195621
1962;1.6723438245
1963;1.7035575851
1964;1.737070502
1965;1.7692597373
1966;1.8100551934
1967;1.8402408281
1968;1.8844036335
1969;1.927614371
1970;1.9858416565
1971;2.0275185776
1972;2.0950597127
1973;2.1721189948
1974;2.2245812074
1975;2.2611960189
1976;2.3106434716
1977;2.3779394545
1978;2.4488081255
1979;2.5135700358
1980;2.5809557491
1981;2.6358520509
1982;2.6715280766
1983;2.7260539183
1984;2.7766465838
1985;2.8340893765
1986;2.8912398183
1987;2.9528486475
1988;3.0333127491
1989;3.0909401671
1990;3.1385255044
1991;3.1769335048
1992;3.2021833022
1993;3.2239368245
1994;3.2560656896
1995;3.2948189927
1996;3.3377202314
1997;3.3599016095
1998;3.4127136093
1999;3.4572310712
2000;3.483525646
2001;3.514321417
2002;3.5547718448
2003;3.6067956717
2004;3.6415645415
2005;3.6815498214
2006;3.7240115324
2007;3.7593981953
2008;3.8112343975
2009;3.8388920305
2010;3.8964612717
2011;3.9422436637
