;nonaeroAnthroF;;1.5;0.5;1.5;1.05;5.4;1.5
1765;0.0342097015;;;;;;;
1766;0.0372065517;;;;;;;
1767;0.0429259658;;;;;;;
1768;0.0458571005;;;;;;;
1769;0.0457042417;;;;;;;
1770;0.0486268739;;;;;;;
1771;0.0503889358;;;;;;;
1772;0.0509578476;;;;;;;
1773;0.0545334018;;;;;;;
1774;0.060287561;;;;;;;
1775;0.0640919483;;;;;;;
1776;0.0665475889;;;;;;;
1777;0.0673445303;;;;;;;
1778;0.0705520417;;;;;;;
1779;0.0708186568;;;;;;;
1780;0.075266261;;;;;;;
1781;0.0826005487;;;;;;;
1782;0.0846671792;;;;;;;
1783;0.0866465326;;;;;;;
1784;0.0870656798;;;;;;;
1785;0.0905636716;;;;;;;
1786;0.0925452078;;;;;;;
1787;0.0944668651;;;;;;;
1788;0.102150306;;;;;;;
1789;0.1044555855;;;;;;;
1790;0.1068088651;;;;;;;
1791;0.1091700591;;;;;;;
1792;0.1114674079;;;;;;;
1793;0.1133772743;;;;;;;
1794;0.1152305384;;;;;;;
1795;0.1223594753;;;;;;;
1796;0.125374352;;;;;;;
1797;0.1255387207;;;;;;;
1798;0.1271651489;;;;;;;
1799;0.1300768799;;;;;;;
1800;0.1320924813;;;;;;;
1801;0.1357119089;;;;;;;
1802;0.1416166357;;;;;;;
1803;0.145202447;;;;;;;
1804;0.1458959032;;;;;;;
1805;0.1480068699;;;;;;;
1806;0.1518283199;;;;;;;
1807;0.1526880771;;;;;;;
1808;0.1566231463;;;;;;;
1809;0.1626230917;;;;;;;
1810;0.1650548297;;;;;;;
1811;0.1687916645;;;;;;;
1812;0.1695127911;;;;;;;
1813;0.1742185325;;;;;;;
1814;0.1747724613;;;;;;;
1815;0.1781537288;;;;;;;
1816;0.1855481616;;;;;;;
1817;0.1862533677;;;;;;;
1818;0.1897542354;;;;;;;
1819;0.1901587811;;;;;;;
1820;0.1934571264;;;;;;;
1821;0.1952586428;;;;;;;
1822;0.1970552769;;;;;;;
1823;0.2041410605;;;;;;;
1824;0.2045602459;;;;;;;
1825;0.2085973545;;;;;;;
1826;0.2092503026;;;;;;;
1827;0.2095696156;;;;;;;
1828;0.2103127256;;;;;;;
1829;0.2117188654;;;;;;;
1830;0.2187042758;;;;;;;
1831;0.2202453783;;;;;;;
1832;0.2209698777;;;;;;;
1833;0.2218656437;;;;;;;
1834;0.2232329303;;;;;;;
1835;0.2245366762;;;;;;;
1836;0.2270145586;;;;;;;
1837;0.2326527956;;;;;;;
1838;0.2336026185;;;;;;;
1839;0.2346961769;;;;;;;
1840;0.2361261958;;;;;;;
1841;0.2392607592;;;;;;;
1842;0.2391001723;;;;;;;
1843;0.2407606142;;;;;;;
1844;0.2483202069;;;;;;;
1845;0.2516426368;;;;;;;
1846;0.2566606323;;;;;;;
1847;0.2585806316;;;;;;;
1848;0.2629325625;;;;;;;
1849;0.2643870411;;;;;;;
1850;0.266739577;;;;;;;
1851;0.2765403088;;;;;;;
1852;0.2800138165;;;;;;;
1853;0.2850730103;;;;;;;
1854;0.2952672882;;;;;;;
1855;0.2983414372;;;;;;;
1856;0.3030914913;;;;;;;
1857;0.3098336191;;;;;;;
1858;0.3196874871;;;;;;;
1859;0.324629576;;;;;;;
1860;0.3314242619;;;;;;;
1861;0.3422742857;;;;;;;
1862;0.3489750857;;;;;;;
1863;0.3559621572;;;;;;;
1864;0.3615918727;;;;;;;
1865;0.3751380742;;;;;;;
1866;0.3822524744;;;;;;;
1867;0.3880796748;;;;;;;
1868;0.4001705398;;;;;;;
1869;0.4044851165;;;;;;;
1870;0.4086121759;;;;;;;
1871;0.4141029776;;;;;;;
1872;0.4253904301;;;;;;;
1873;0.431160696;;;;;;;
1874;0.438064255;;;;;;;
1875;0.449510943;;;;;;;
1876;0.4568121421;;;;;;;
1877;0.4641590295;;;;;;;
1878;0.4688399004;;;;;;;
1879;0.4819869927;;;;;;;
1880;0.4913594253;;;;;;;
1881;0.4983205727;;;;;;;
1882;0.5124576251;;;;;;;
1883;0.5190119968;;;;;;;
1884;0.5272157389;;;;;;;
1885;0.5347273405;;;;;;;
1886;0.5494043835;;;;;;;
