;nonaeroAnthroF
1765;0.0223597015
1766;0.0238565517
1767;0.0256759658
1768;0.0271071005
1769;0.0284542417
1770;0.0298768739
1771;0.0316389358
1772;0.0337078476
1773;0.0357834018
1774;0.037637561
1775;0.0399419483
1776;0.0423975889
1777;0.0446945303
1778;0.0464020417
1779;0.0481686568
1780;0.050066261
1781;0.0520005487
1782;0.0540671792
1783;0.0560465326
1784;0.0579656798
1785;0.0599636716
1786;0.0619452078
1787;0.0638668651
1788;0.066150306
1789;0.0684555855
1790;0.0708088651
1791;0.0731700591
1792;0.0754674079
1793;0.0773772743
1794;0.0792305384
1795;0.0809594753
1796;0.082474352
1797;0.0841387207
1798;0.0857651489
1799;0.0876268799
1800;0.0896424813
1801;0.0917619089
1802;0.0937666357
1803;0.095852447
1804;0.0980459032
1805;0.1001568699
1806;0.1024783199
1807;0.1048380771
1808;0.1072731463
1809;0.1093730917
1810;0.1118048297
1811;0.1140416645
1812;0.1162627911
1813;0.1184185325
1814;0.1204724613
1815;0.1223537288
1816;0.1243481616
1817;0.1265533677
1818;0.1285542354
1819;0.1304587811
1820;0.1322571264
1821;0.1340586428
1822;0.1358552769
1823;0.1375410605
1824;0.1394602459
1825;0.1409473545
1826;0.1416003026
1827;0.1419196156
1828;0.1426627256
1829;0.1440688654
1830;0.1456542758
1831;0.1471953783
1832;0.1479198777
1833;0.1488156437
1834;0.1501829303
1835;0.1514866762
1836;0.1524645586
1837;0.1531527956
1838;0.1541026185
1839;0.1551961769
1840;0.1566261958
1841;0.1582607592
1842;0.1596001723
1843;0.1612606142
1844;0.1634202069
1845;0.1667426368
1846;0.1702606323
1847;0.1726306316
1848;0.1754825625
1849;0.1784370411
1850;0.180789577
1851;0.1836903088
1852;0.1871638165
1853;0.1907230103
1854;0.1940172882
1855;0.1970914372
1856;0.2003414913
1857;0.2045336191
1858;0.2089874871
1859;0.213929576
1860;0.2192242619
1861;0.2246742857
1862;0.2298750857
1863;0.2353621572
1864;0.2409918727
1865;0.2465880742
1866;0.2522024744
1867;0.2580296748
1868;0.2632205398
1869;0.2675351165
1870;0.2716621759
1871;0.2756529776
1872;0.2800404301
1873;0.284760696
1874;0.290164255
1875;0.296210943
1876;0.3020121421
1877;0.3078590295
1878;0.3140399004
1879;0.3202869927
1880;0.3271094253
1881;0.3340705727
1882;0.3413076251
1883;0.3478619968
1884;0.3545657389
1885;0.3620773405
1886;0.3698543835
1887;0.378057412
1888;0.3867157035
1889;0.3955160918
1890;0.4041725101
1891;0.4130285348
1892;0.4220583023
1893;0.4302071726
1894;0.4382514555
1895;0.445633106
1896;0.452220273
1897;0.458766622
1898;0.4667612049
1899;0.4759390539
1900;0.4855686732
1901;0.4943900595
1902;0.5035693878
1903;0.513060595
1904;0.522481588
1905;0.5325732486
1906;0.5435190718
1907;0.5558800522
1908;0.5668432483
1909;0.5779987493
1910;0.5897075364
1911;0.6013587601
1912;0.6137134579
1913;0.6261747993
1914;0.6373524482
1915;0.6490051048
1916;0.6632276863
1917;0.6761736
1918;0.6875109179
1919;0.6972895958
1920;0.7087772993
1921;0.718374196
1922;0.7281280086
1923;0.7379668039
1924;0.7467546872
1925;0.7513676143
1926;0.7546132032
1927;0.7598617813
1928;0.7652588959
1929;0.7714602844
1930;0.7765119728
1931;0.782737527
1932;0.7897785233
1933;0.7980856864
1934;0.8079630581
1935;0.8190083685
1936;0.8360589641
1937;0.8524677746
1938;0.8648352589
1939;0.8787725034
1940;0.8907383079
1941;0.9017391374
1942;0.9122012129
1943;0.9214233152
1944;0.9255011146
1945;0.9277957253
1946;0.9320986871
1947;0.9384953198
1948;0.9437721
1949;0.9494564513
1950;0.9567284557
1951;0.9646200017
1952;0.9749182073
1953;0.9885661699
1954;1.0026841457
1955;1.0173925565
1956;1.0328071662
1957;1.0485259611
1958;1.0637382562
1959;1.0801364691
1960;1.1018757292
1961;1.120930636
1962;1.1454440556
1963;1.1708010623
1964;1.197401793
1965;1.2200592706
1966;1.2522410017
1967;1.2778298872
1968;1.3119567193
1969;1.3466310957
1970;1.3950655251
1971;1.4283302371
1972;1.4838675871
1973;1.5490694004
1974;1.5871823115
1975;1.6135018563
1976;1.651599091
1977;1.7075584395
1978;1.760818708
1979;1.81219648
1980;1.869631958
1981;1.9154470373
1982;1.9484591299
1983;1.9967174169
1984;2.043095873
1985;2.0908558768
1986;2.1414268948
1987;2.1983743183
1988;2.2693203458
1989;2.3238002695
1990;2.3639977525
1991;2.4037878466
1992;2.4298701691
1993;2.4476843593
1994;2.4794451005
1995;2.5178838729
1996;2.5557841381
1997;2.5789718818
1998;2.6287462
1999;2.6665703853
2000;2.6926198766
2001;2.7205554487
2002;2.7580646594
2003;2.8044062761
2004;2.8288417614
2005;2.8631946203
2006;2.9007865379
2007;2.9303952864
2008;2.9724470486
2009;3.0004056996
2010;3.0478046071
2011;3.0878113038
2012;3.1219492066
2013;3.1701610164
2014;3.2064635213
