;so2 emissions (tg)
1765;0.5190598639
1766;0.5400371514
1767;0.5361270478
1768;0.5463838724
1769;0.5526136497
1770;0.5609393523
1771;0.526770108
1772;0.5288371536
1773;0.5305502338
1774;0.5329590012
1775;0.5348388612
1776;0.5499832941
1777;0.5516800497
1778;0.552847898
1779;0.5559360279
1780;0.5562560128
1781;0.5758480448
1782;0.5769868442
1783;0.5799059383
1784;0.5813863513
1785;0.5827584605
1786;0.6065312543
1787;0.6078943172
1788;0.6092182355
1789;0.610573028
1790;0.6119236851
1791;0.6342202785
1792;0.6398007605
1793;0.6408425032
1794;0.6413736363
1795;0.642334851
1796;0.6533339372
1797;0.6654237754
1798;0.6764979524
1799;0.6888385135
1800;0.7062932901
1801;0.7071165968
1802;0.7669434368
1803;0.7454000253
1804;0.7674287007
1805;0.7690258418
1806;0.7877748451
1807;0.8071727512
1808;0.7918658336
1809;0.7941420611
1810;0.8093361779
1811;0.8332806753
1812;0.8496269977
1813;0.8546479143
1814;0.8642075241
1815;0.8785636781
1816;0.9207724061
1817;0.9391085767
1818;0.9450371787
1819;0.9490698661
1820;0.9586166618
1821;0.972273258
1822;0.9963346539
1823;1.0278544751
1824;1.0492493238
1825;1.0746996993
1826;1.0874862607
1827;1.1336098427
1828;1.1459270002
1829;1.1495946635
1830;1.3569574676
1831;1.3312100037
1832;1.3465399012
1833;1.37142973
1834;1.3917916134
1835;1.4226265012
1836;1.5638170141
1837;1.5676976283
1838;1.608720005
1839;1.6553665068
1840;1.7278411764
1841;1.7707685226
1842;1.8477309204
1843;1.8981209344
1844;2.0133961821
1845;2.1547932897
1846;2.1665699798
1847;2.2850498104
1848;2.3148794036
1849;2.389152211
1850;2.4810728566
1851;2.5131970969
1852;2.5926326143
1853;2.6763109368
1854;3.0099407122
1855;3.0512767593
1856;3.2144417795
1857;3.247859409
1858;3.2924742448
1859;3.4865163506
1860;3.7602941943
1861;3.9032308767
1862;3.9410214412
1863;4.1682860036
1864;4.415032515
1865;4.6197699072
1866;4.7810803311
1867;5.0874952495
1868;5.2217043341
1869;5.5320197688
1870;5.6839895329
1871;6.0070437512
1872;6.5378985705
1873;6.9110709029
1874;6.6762053854
1875;7.0949124622
1876;7.2526519779
1877;7.4717327854
1878;7.5304066355
1879;8.020422066
1880;8.9020311683
1881;9.2411802918
1882;9.7337342223
1883;10.3110463203
1884;10.4705919527
1885;10.5597141304
1886;10.6892175483
1887;11.1628250392
1888;12.2624741254
1889;12.2794426653
1890;13.3592903318
1891;14.0336181123
1892;14.3475037001
1893;14.2293429434
1894;14.7165698615
1895;15.6295286544
1896;16.1872065952
1897;16.9702107562
1898;17.9557241991
1899;19.5952938589
1900;20.6427050913
1901;21.5207931859
1902;22.202864729
1903;24.1472502657
1904;24.5179317091
1905;26.1617792604
1906;27.5199107305
1907;30.457329903
1908;29.076479704
1909;30.6716966523
1910;32.1203736718
1911;32.4416666072
1912;33.9814845051
1913;36.1182019878
1914;33.070502978
1915;33.0961519556
1916;36.1190990396
1917;37.7385363025
1918;37.3738311026
1919;31.8782950285
1920;35.4989433088
1921;30.0435945678
1922;31.9061828464
1923;37.3255062122
1924;37.0294840442
1925;37.4651851601
1926;37.614769568
1927;40.2450371437
1928;40.0914774042
1929;42.7389403287
1930;39.4099619308
1931;34.6906236667
1932;30.2224475524
1933;31.9600723804
1934;35.2236478101
1935;38.0481312096
1936;41.0078905366
1937;44.3330902598
1938;41.0406626641
1939;43.8773473115
1940;48.2519252145
1941;50.1736717269
1942;51.2805019752
1943;52.128561264
1944;51.0454871967
1945;44.7165275582
1946;44.2534719611
1947;49.911917573
1948;52.206345771
1949;50.2838118536
1950;55.9965765155
1951;58.7177182557
1952;59.4585803641
1953;60.6096191168
1954;61.0316947213
1955;66.9463871514
1956;71.9609836866
1957;75.3344688506
1958;76.5079712278
1959;80.5251010992
1960;83.8593695642
1961;94.528727726
1962;96.5603801461
1963;99.467258936
1964;103.5011052008
1965;105.9701851299
1966;108.3810220618
1967;107.2036518978
1968;111.5266521578
1969;114.8104341582
1970;120.8735262313
1971;121.2321544325
1972;124.4828042785
1973;130.4249211758
1974;128.4982043672
1975;126.237789439
1976;132.0202547961
1977;133.3086897381
1978;133.7080390006
1979;135.9325370855
1980;135.2743618212
1981;131.1772439562
1982;128.5281248975
1983;127.0222481675
1984;128.4479474914
1985;128.7421906949
1986;128.7475935113
1987;131.1600466299
1988;132.2532699659
1989;132.4228048385
1990;131.9264911168
1991;130.0705762236
1992;126.3005150888
1993;124.0774165824
1994;120.9156948413
1995;118.8365786884
1996;116.9805433873
1997;116.6393422633
1998;113.7803335533
1999;108.5235751667
2000;109.1312066606
2001;109.8752952045
2002;108.6265176881
2003;112.5068748105
2004;118.2146717752
2005;122.6886406526
2006;123.5863683469
2007;122.8392579462
2008;120.3026736477
2009;115.3260833383
2010;114.0823927175
2011;115.4870774231
2012;113.3389822041
2013;112.6841359769
2014;111.7632647768
