;so2 Tg
1765;2.099961396
1766;2.1037302291
1767;2.1076410464
1768;2.1116991882
1769;2.1159101953
1770;2.1202798159
1771;2.1248140136
1772;2.1295189757
1773;2.1344011208
1774;2.1394671081
1775;2.144723846
1776;2.1501785013
1777;2.155838509
1778;2.161711582
1779;2.1678057216
1780;2.174129228
1781;2.1806907117
1782;2.1874991043
1783;2.1945636711
1784;2.2018940229
1785;2.209500129
1786;2.2173923303
1787;2.2255813531
1788;2.2340783229
1789;2.2428947796
1790;2.2520426923
1791;2.2615344752
1792;2.2713830039
1793;2.281601632
1794;2.2922042091
1795;2.3032050984
1796;2.3146191956
1797;2.3264619484
1798;2.3387493761
1799;2.3514980911
1800;2.3647253197
1801;2.3784489246
1802;2.3926874279
1803;2.407460035
1804;2.422786659
1805;2.4386879463
1806;2.4551853031
1807;2.4723009225
1808;2.4900578131
1809;2.5084798278
1810;2.5275916947
1811;2.5474190482
1812;2.567988462
1813;2.5893274827
1814;2.6114646654
1815;2.6344296106
1816;2.6582530023
1817;2.6829666487
1818;2.7086035243
1819;2.7351978145
1820;2.7627849629
1821;2.7914017212
1822;2.8210862034
1823;2.8518779429
1824;2.8838179556
1825;2.9169488075
1826;2.9513146898
1827;2.9869615011
1828;3.0239369398
1829;3.0622906071
1830;3.1020741228
1831;3.1433412578
1832;3.186148084
1833;3.2305531466
1834;3.2766176617
1835;3.3244057438
1836;3.3739846686
1837;3.4254251756
1838;3.4788018181
1839;3.534193366
1840;3.5916832707
1841;3.6513601984
1842;3.7133186422
1843;3.7776596208
1844;3.8444914745
1845;3.9139307673
1846;3.9861033054
1847;4.0611452806
1848;4.1392045473
1849;4.2204420409
1850;4.3050333419
1851;4.3931703898
1852;4.4850633477
1853;4.5809426125
1854;4.6810609647
1855;4.7856958449
1856;4.8951517371
1857;5.0097626347
1858;5.1298945554
1859;5.2559480641
1860;5.3883607548
1861;5.5276096311
1862;5.6742133186
1863;5.8287340311
1864;5.9917792043
1865;6.1640027027
1866;6.3461054989
1867;6.5388357165
1868;6.7429879286
1869;6.9594015975
1870;7.1889585475
1871;7.4325793654
1872;7.6912186319
1873;7.9658589009
1874;8.2575033606
1875;8.5671671311
1876;8.8958671793
1877;9.2446108627
1878;9.6143831472
1879;10.0061325805
1880;10.4207561464
1881;10.859083163
1882;11.3218584344
1883;11.8097249069
1884;12.3232061223
1885;12.862688798
1886;13.4284058985
1887;14.0204205888
1888;14.6386114808
1889;15.2826595936
1890;15.9520374503
1891;16.6460007212
1892;17.3635828025
1893;18.1035926827
1894;18.8646164029
1895;19.645022356
1896;20.442970601
1897;21.2564262862
1898;22.0831771879
1899;22.9208552738
1900;23.7669621045
1901;24.6188977847
1902;25.4739930777
1903;26.3295442029
1904;27.1828497541
1905;28.0312490962
1906;28.8721615411
1907;29.7031255556
1908;30.5218372282
1909;31.3261872126
1910;32.1142953763
1911;32.8845424207
1912;33.6355977856
1913;34.3664432302
1914;35.0763915728
1915;35.7651001769
1916;36.4325789007
1917;37.0791923549
1918;37.7056564642
1919;38.3130294747
1920;38.902697705
1921;39.4763564959
1922;40.035986967
1923;40.5838293391
1924;41.1223537273
1925;41.654229446
1926;42.1822939942
1927;42.7095229986
1928;43.2390024872
1929;43.7739049345
1930;44.3174705527
1931;44.8729952987
1932;45.4438270046
1933;46.033370904
1934;46.6451056116
1935;47.2826102842
1936;47.9496032477
1937;48.6499917882
1938;49.3879320732
1939;50.1678972902
1940;50.9947510713
1941;51.8738221435
1942;52.8109749524
1943;53.8126698122
1944;54.8860050337
1945;56.038732574
1946;57.2792381739
1947;58.6164768217
1948;60.0598548534
1949;61.6190511792
1950;63.3037721109
1951;65.1234371014
1952;67.086796375
1953;69.2014858474
1954;71.4735297201
1955;73.9068064443
1956;76.5024990241
1957;79.2585554884
1958;82.1691893341
1959;85.2244524014
1960;88.4099135458
1961;91.7064752956
1962;95.0903571863
1963;98.5332686003
1964;102.0027858147
1965;105.4629379069
1966;108.8749946971
1967;112.1984377098
1968;115.3920830332
1969;118.4153138288
1970;121.2293709816
1971;123.7986437767
1972;126.0918992007
1973;128.0833888951
1974;129.7537771001
1975;131.0908409576
1976;132.0899058433
1977;132.7539922586
1978;133.0936662962
1979;133.1266017344
1980;132.8768773019
1981;132.3740465123
1982;131.6520287795
1983;130.7478785533
1984;129.7004935322
1985;128.5493234453
1986;127.3331376085
1987;126.0889028601
1988;124.8508142223
1989;123.6495095051
1990;122.5114869662
1991;121.458732935
1992;120.5085548324
1993;119.67360495
1994;118.9620722116
1995;118.3780132535
1996;117.9217906414
1997;117.5905848334
1998;117.3789473706
1999;117.2793653973
2000;117.2828115509
2001;117.3792580719
2002;117.5581392275
2003;117.8087514016
2004;118.1205851564
2005;118.4835879504
2006;118.8883598343
2007;119.3262872569
2008;119.7896220777
2009;120.271514056
2010;120.7660055533
2011;121.2679970765
2012;121.7731917298
2013;122.2780257744
2014;122.77959144
2015;123.2755569999
2016;123.7640879985
2017;124.2437724729
2018;124.7135520817
2019;125.1726602701
2020;125.6205679662
