;nonaeroAnthroF
1765;0.011098672
1766;0.0124025656
1767;0.0151021092
1768;0.0179503705
1769;0.020876832
1770;0.0238325506
1771;0.0268207427
1772;0.02987137
1773;0.0329932267
1774;0.0361789794
1775;0.0394405965
1776;0.0428130384
1777;0.046293397
1778;0.0498097626
1779;0.0532637886
1780;0.0565671299
1781;0.0596832032
1782;0.0626543425
1783;0.0655661133
1784;0.0685098393
1785;0.0715728968
1786;0.0748041573
1787;0.0781760827
1788;0.0816082785
1789;0.0850090537
1790;0.0883126259
1791;0.0915182881
1792;0.0946596864
1793;0.0977473215
1794;0.1007731469
1795;0.1037338369
1796;0.106634024
1797;0.1094779393
1798;0.1122607974
1799;0.1149735648
1800;0.1176154221
1801;0.1202012717
1802;0.1227435285
1803;0.1252372557
1804;0.1276690188
1805;0.1300431135
1806;0.1323874162
1807;0.1347000157
1808;0.1369197469
1809;0.1389616819
1810;0.1407663247
1811;0.1423474804
1812;0.1437794529
1813;0.1451352336
1814;0.1464746871
1815;0.1478523265
1816;0.1492929789
1817;0.1507708895
1818;0.1522306709
1819;0.1536114815
1820;0.1548688449
1821;0.1560069128
1822;0.1570678217
1823;0.1580906028
1824;0.15910552
1825;0.1601357288
1826;0.1611835771
1827;0.1622396145
1828;0.1632989374
1829;0.1643617449
1830;0.1654269982
1831;0.1658334181
1832;0.1645444226
1833;0.1623129479
1834;0.1601766802
1835;0.15804448
1836;0.1559193101
1837;0.1538042624
1838;0.152646305
1839;0.1529212036
1840;0.1536907419
1841;0.1549725504
1842;0.1572554115
1843;0.1600488831
1844;0.1633037168
1845;0.1674364317
1846;0.1714800432
1847;0.1749919515
1848;0.1789459275
1849;0.1828755763
1850;0.18638714
1851;0.1901818112
1852;0.1937232502
1853;0.19726277
1854;0.2012692429
1855;0.2051327045
1856;0.208994048
1857;0.2129937002
1858;0.2174588449
1859;0.2219211002
1860;0.225913208
1861;0.2299029792
1862;0.2334235839
1863;0.2369423011
1864;0.2409255543
1865;0.2445796254
1866;0.2477655164
1867;0.2508106048
1868;0.2543198768
1869;0.2582927144
1870;0.2623168641
1871;0.2667184233
1872;0.2715281844
1873;0.2768837056
1874;0.283162733
1875;0.2899523744
1876;0.2971133629
1877;0.3051387145
1878;0.3137010812
1879;0.3227136835
1880;0.3327718115
1881;0.3434113297
1882;0.353575575
1883;0.3632667776
1884;0.3728077127
1885;0.3812859589
1886;0.3885223654
1887;0.3948919462
1888;0.4002608618
1889;0.4052556232
1890;0.4098771979
1891;0.4141771377
1892;0.4186098105
1893;0.422366022
1894;0.4254469413
1895;0.428661315
1896;0.4320086709
1897;0.4357579028
1898;0.440864609
1899;0.447375472
1900;0.4545511446
1901;0.4626564976
1902;0.4714693377
1903;0.4804023901
1904;0.489904843
1905;0.5002913693
1906;0.5111104085
1907;0.5215538771
1908;0.5317539802
1909;0.5420684037
1910;0.5522353905
1911;0.5618102959
1912;0.5711410988
1913;0.5807317544
1914;0.5899179166
1915;0.5987061011
1916;0.6079875984
1917;0.6177988015
1918;0.6273885862
1919;0.6365714071
1920;0.6460537312
1921;0.6563604553
1922;0.666692546
1923;0.6766084543
1924;0.6873861336
1925;0.6990228685
1926;0.7102903262
1927;0.721543831
1928;0.7334833334
1929;0.7452776185
1930;0.7564931868
1931;0.7680405854
1932;0.7796516239
1933;0.790462172
1934;0.8007202085
1935;0.8108602105
1936;0.8201237733
1937;0.8275675592
1938;0.8336303371
1939;0.8388324625
1940;0.8432961961
1941;0.8466808861
1942;0.84875061
1943;0.8502802624
1944;0.852453764
1945;0.8557085472
1946;0.8599895154
1947;0.8654748435
1948;0.8720941069
1949;0.8798091655
1950;0.8890916401
1951;0.9002915308
1952;0.9127088017
1953;0.925984163
1954;0.9406582752
1955;0.9568455105
1956;0.9739045747
1957;0.9916942721
1958;1.0097159447
1959;1.0286004526
1960;1.0498801366
1961;1.0720073107
1962;1.093167674
1963;1.1129608779
1964;1.1322878968
1965;1.1556709183
1966;1.18426264
1967;1.2126964488
1968;1.2431529642
1969;1.2785108768
1970;1.3116263031
1971;1.3418767611
1972;1.3796814386
1973;1.422519635
1974;1.4586553112
1975;1.4920960279
1976;1.5310258455
1977;1.5757885999
1978;1.6212462708
1979;1.6681447465
1980;1.7168256281
1981;1.7588092061
1982;1.7964370861
1983;1.8380691789
1984;1.8816664699
1985;1.9236358125
1986;1.9648786327
1987;2.0110393884
1988;2.0633225165
1989;2.1112692057
1990;2.1506462187
1991;2.184594942
1992;2.2113063271
1993;2.2346896539
1994;2.2631979524
1995;2.2960363932
1996;2.3266108893
1997;2.3577605611
1998;2.3962097149
1999;2.4315799775
2000;2.4572166132
2001;2.4830880201
2002;2.5163413006
2003;2.5520460977
2004;2.5835514545
2005;2.6135740208
2006;2.6439929483
2007;2.6735715824
2008;2.7042000064
2009;2.7364951644
2010;2.7688650687
2011;2.8005979239
2012;2.8321490623
2013;2.8637013145
2014;2.8953354305
2015;2.9270829821
2016;2.9588586044
2017;2.9905614464
2018;3.0221630063
2019;3.0536604266
